CLIENTNUM;Attrition_Flag;Customer_Age;Gender;Dependent_count;Education_Level;Marital_Status;Income_Category;Card_Category;Months_on_book;Months_Inactive_12_mon;Credit_Limit
768805383;Existing Customer;45;M;3;High School;Married;$60K - $80K;Blue;39;1;12691
818770008;Existing Customer;49;F;5;Graduate;Single;Less than $40K;Blue;44;1;8256
713982108;Existing Customer;51;M;3;Graduate;Married;$80K - $120K;Blue;36;1;3418
769911858;Existing Customer;40;F;4;High School;Unknown;Less than $40K;Blue;34;4;3313
709106358;Existing Customer;40;M;3;Uneducated;Married;$60K - $80K;Blue;21;1;4716
713061558;Existing Customer;44;M;2;Graduate;Married;$40K - $60K;Blue;36;1;4010
810347208;Existing Customer;51;M;4;Unknown;Married;$120K +;Gold;46;1;34516
818906208;Existing Customer;32;M;0;High School;Unknown;$60K - $80K;Silver;27;2;29081
710930508;Existing Customer;37;M;3;Uneducated;Single;$60K - $80K;Blue;36;2;22352
719661558;Existing Customer;48;M;2;Graduate;Single;$80K - $120K;Blue;36;3;11656
708790833;Existing Customer;42;M;5;Uneducated;Unknown;$120K +;Blue;31;3;6748
710821833;Existing Customer;65;M;1;Unknown;Married;$40K - $60K;Blue;54;2;9095
710599683;Existing Customer;56;M;1;College;Single;$80K - $120K;Blue;36;6;11751
816082233;Existing Customer;35;M;3;Graduate;Unknown;$60K - $80K;Blue;30;1;8547
712396908;Existing Customer;57;F;2;Graduate;Married;Less than $40K;Blue;48;2;2436
714885258;Existing Customer;44;M;4;Unknown;Unknown;$80K - $120K;Blue;37;1;4234
709967358;Existing Customer;48;M;4;Post-Graduate;Single;$80K - $120K;Blue;36;2;30367
753327333;Existing Customer;41;M;3;Unknown;Married;$80K - $120K;Blue;34;4;13535
806160108;Existing Customer;61;M;1;High School;Married;$40K - $60K;Blue;56;2;3193
709327383;Existing Customer;45;F;2;Graduate;Married;Unknown;Blue;37;1;14470
806165208;Existing Customer;47;M;1;Doctorate;Divorced;$60K - $80K;Blue;42;2;20979
708508758;Attrited Customer;62;F;0;Graduate;Married;Less than $40K;Blue;49;3;1438.3
784725333;Existing Customer;41;M;3;High School;Married;$40K - $60K;Blue;33;2;4470
811604133;Existing Customer;47;F;4;Unknown;Single;Less than $40K;Blue;36;3;2492
789124683;Existing Customer;54;M;2;Unknown;Married;$80K - $120K;Blue;42;2;12217
771071958;Existing Customer;41;F;3;Graduate;Single;Less than $40K;Blue;28;1;7768
720466383;Existing Customer;59;M;1;High School;Unknown;$40K - $60K;Blue;46;1;14784
804424383;Existing Customer;63;M;1;Unknown;Married;$60K - $80K;Blue;56;3;10215
718813833;Existing Customer;44;F;3;Uneducated;Single;Unknown;Blue;34;2;10100
806624208;Existing Customer;47;M;4;High School;Married;$40K - $60K;Blue;42;0;4785
778348233;Existing Customer;53;M;3;Unknown;Married;$80K - $120K;Blue;33;2;2753
712991808;Existing Customer;53;M;2;Uneducated;Married;$60K - $80K;Blue;48;5;2451
709029408;Existing Customer;41;M;4;Graduate;Married;$60K - $80K;Blue;36;1;8923
788658483;Existing Customer;53;F;2;College;Married;Less than $40K;Blue;38;2;2650
787937058;Existing Customer;58;M;0;Graduate;Married;$80K - $120K;Blue;49;2;12555
715318008;Existing Customer;55;F;1;College;Single;Less than $40K;Blue;36;2;3520
713962233;Existing Customer;55;F;3;Graduate;Married;Less than $40K;Blue;36;2;3035
785432733;Existing Customer;42;F;4;High School;Married;Less than $40K;Gold;36;3;15433
715190283;Existing Customer;57;F;1;Graduate;Unknown;$40K - $60K;Blue;49;3;3672
708300483;Attrited Customer;66;F;0;Doctorate;Married;Unknown;Blue;56;4;7882
827111283;Existing Customer;45;M;3;Graduate;Single;$80K - $120K;Blue;41;2;32426
758551608;Existing Customer;51;M;2;Unknown;Married;$40K - $60K;Blue;44;1;6205
773146383;Existing Customer;50;F;1;College;Single;$40K - $60K;Silver;43;2;17304
778493808;Existing Customer;49;M;3;High School;Married;$60K - $80K;Blue;37;2;3906
720572508;Existing Customer;38;F;4;Graduate;Single;Unknown;Blue;28;3;9830
712661433;Existing Customer;49;M;4;Uneducated;Single;$80K - $120K;Blue;30;2;34516
789172683;Existing Customer;56;M;2;Doctorate;Married;$60K - $80K;Blue;45;2;2283
738406533;Existing Customer;59;M;1;Doctorate;Married;$40K - $60K;Blue;52;2;2548
799723908;Existing Customer;46;M;3;High School;Married;$80K - $120K;Blue;40;3;19458
771490833;Existing Customer;52;M;1;College;Single;$80K - $120K;Blue;40;1;4745
720756708;Existing Customer;52;F;3;Unknown;Married;Less than $40K;Blue;41;3;2622
